id,registration,make,model,primaryColour,fuelType
43518855,BO55SWB,VOLKSWAGEN,CRAFTER,White,Diesel
43532262,BO55JRJ,"LAND ROVER",DEFENDER,Grey,Diesel
43546350,BO55BFB,MERCEDES-BENZ,SPRINTER,Silver,Diesel
43554984,BO55KXM,AUDI,A4,White,Petrol
43597006,BO55PJK,TOYOTA,"LAND CRUISER",Silver,Diesel
43644251,BO55NCT,"LAND ROVER",DISCOVERY,Silver,Diesel
43646836,BO55HSR,MERCEDES-BENZ,E,Black,Diesel
43689302,BO55WNH,JEEP,WRANGLER,Red,Petrol
43722500,BO55FCH,CHRYSLER-JEEP,300,Blue,Diesel
43741700,BO55HTR,NISSAN,NAVARA,Silver,Diesel
43802335,BO55CBL,"LAND ROVER","DISCOVERY HSE SD6 AUTO",Black,Diesel
43907895,BO55HFH,CHRYSLER-JEEP,300,Black,Diesel
43980974,BO55VTL,"LAND ROVER","RANGE ROVER",Black,Petrol
44092453,BO55JJO,MERCEDES-BENZ,GLE,White,Diesel
44260615,BO55YOX,FORD,"TRANSIT CUSTOM 320SPRT EBLUE A",Grey,Diesel
44320326,BO55JPO,VOLKSWAGEN,TRANSPORTER,White,Diesel
44322472,BO55JNP,VAUXHALL,TIGRA,Black,Petrol
44506546,BO55EAJ,BENTLEY,MULSANNE,Brown,Petrol
44512274,BO55ZNT,AUDI,Q2,Grey,Diesel
44617742,BO55CAE,FORD,"TRANSIT CUSTOM",Blue,Diesel
44639386,BO55RDZ,FORD,TRANSIT,Grey,Diesel
44677033,BO55ZLM,BMW,"3 SERIES",Black,Diesel
44683749,BO55BDD,AUDI,A3,Blue,Petrol
44684495,BO55PTG,"ISUZU TRUCKS","NKR 77 TURBO ELECTRIC DI",Green,Diesel
45035654,BO55MTG,MERCEDES-BENZ,CLK,Silver,Petrol
45123116,BO55CPE,MERCEDES,"E CLASS",Black,Diesel
45204434,BO55OBZ,"LAND ROVER",DISCOVERY,Black,Diesel
45224121,BO55MON,PORSCHE,CAYENNE,Black,Diesel
45341895,BO55BKE,VOLKSWAGEN,CRAFTER,White,Diesel
45354731,BO55HWJ,FORD,FIESTA,Black,Petrol
45728478,BO55FLY,BMW,X5,Black,Diesel
45728979,BO55DMB,BMW,X6,Grey,Diesel
45729405,BO55UBS,MERCEDES-BENZ,SPRINTER,White,Diesel
45730418,BO55FLK,BMW,"3 SERIES",Black,Diesel
45801208,BO55RFB,"LAND ROVER","RANGE ROVER SPORT",White,Diesel
45809475,BO55GYL,"LAND ROVER",DISCOVERY,White,Diesel
45813233,BO55VCW,BMW,116,Blue,Diesel
45831104,BO55LVC,VOLKSWAGEN,CRAFTER,White,Diesel
45844095,BO55NTE,MAZDA,6,Black,Petrol
45864292,BO55WRT,"LAND ROVER",FREELANDER,White,Diesel
45931655,BO55DFK,CITROEN,RELAY,White,Diesel
45949891,BO55SLL,"LAND ROVER","RANGE ROVER",Black,Petrol
45970819,BO55RRG,"LAND ROVER","RANGE ROVER SPORT",Black,Petrol
46287527,BO55HWH,BMW,630,Black,Petrol
46593205,BO55OUL,MINI,MINI,Blue,Petrol
46602575,BO55UCC,BMW,520,Black,Diesel
46654854,BO55ZXA,AUDI,TT,Grey,Petrol
46694586,BO55WHN,"ASTON MARTIN","V8 VANTAGE",Blue,Petrol
46896996,BO55MXX,TESLA,"MODEL X",White,Electric
47001640,BO55KRV,PORSCHE,BOXSTER,Black,Petrol
47108166,BO55KUU,MERCEDES-BENZ,E,Black,Petrol
47108587,BO55VKO,"LAND ROVER","RANGE ROVER",White,Diesel
47272819,BO55FGA,FORD,TRANSIT,White,Diesel
47316474,BO55WRP,VAUXHALL,VIVARO,White,Diesel
47458822,BO55JLY,VAUXHALL,ASTRA,Black,Petrol
47501481,BO55BGA,FORD,TRANSIT,White,Diesel
47512314,BO55LWN,AUDI,S3,Blue,Petrol
47525821,BO55ONC,MERCEDES-BENZ,VITO,Grey,Diesel
47859327,BO55VPS,VOLKSWAGEN,POLO,Grey,Petrol
47914943,BO55GDS,CHRYSLER-JEEP,"GRAND VOYAGER",White,Diesel
48063068,BO55WVA,MERCEDES-BENZ,E,Grey,Diesel
48122848,BO55VAM,MINI,MINI,Black,Petrol
48159971,BO55BSN,MERCEDES-BENZ,SPRINTER,White,Diesel
48252399,BO55LEL,VOLKSWAGEN,PASSAT,Red,Diesel
48256169,BO55HJH,MERCEDES-BENZ,SPRINTER,White,Diesel
48267491,BO55OTB,TOYOTA,AYGO,White,Petrol
48331871,BO55UAE,"LAND ROVER","RANGE ROVER SPORT",Green,Petrol
48336903,BO55BEY,BMW,"3 SERIES",Yellow,Diesel
48343859,BO55BGX,BMW,"6 SERIES",Red,Petrol
